NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel
104,pgm;4;0;0;#NOM?;8,449222;74;60,58;46,224;#NOM?;#NOM?;#NOM?;#NOM?;96;152
105,pgm;5;2653;2134;2,001698;14,910182;72;49,040346;50,363112;47,446;49,101525;1,594346;1,261587;177;167
106,pgm;6;2824;3312;1,136321;6,477809;75;53,643564;47,782178;52,436441;44,389016;1,207124;3,393163;150;151
107,pgm;7;0;1;0,07958;10,946842;73;59,912727;47,578182;93;65;-33,087273;-17,421818;114;157
108,pgm;8;2566;0;1,252963;13,432201;0;31,325;58,742857;19,711224;47,842946;11,613776;10,899911;205;73
109,pgm;9;0;1695;1,070501;13,359826;114;60,065891;35,968992;75,79056;35,748673;-15,724669;0,22032;50;207
110,pgm;0;0;1;0,07958;9,488247;30;48,549801;61,721116;51;93;-2,450199;-31,278884;140;111
111,pgm;1;3487;3413;0,904211;4,166544;63;46,937294;48,937294;50,004203;50,262174;-3,066909;-1,32488;162;140
112,pgm;2;0;1717;1,01521;13,433981;95;49,449664;53,630872;74,126383;39,398369;-24,676719;14,232503;156;134
113,pgm;3;0;856;1,005532;13,928879;104;60,07;55,236667;79,938084;24,384346;-19,868084;30,852321;139;160
114,pgm;4;230;34;0,945312;9,312153;81;60,772727;49,006993;44,344697;66,405303;16,42803;-17,39831;133;151
115,pgm;5;3051;2258;1,975165;13,950341;61;48,077135;53,76584;46,656056;53,549068;1,421079;0,216773;190;172
116,pgm;6;2160;3008;1,717803;12,077457;81;51,635294;49,720588;54,615519;42,217105;-2,980224;7,503483;178;160
117,pgm;7;0;1;0,07958;9,382135;79;61,330909;46,465455;96;50;-34,669091;-3,534545;119;153
118,pgm;8;2665;0;1,194444;12,407643;0;34,94717;56,566038;25,514447;47,865291;9,432723;8,700747;185;78
119,pgm;9;0;1183;1,051086;13,723883;146;58,533898;34,305085;74,793745;30,45224;-16,259846;3,852845;49;185
120,pgm;0;0;540;1,039843;10,138841;28;50,173077;63,603846;82,440741;55,12963;-32,267664;8,474217;154;104
121,pgm;1;3098;3306;1,155983;2,736671;82;50,616393;48,144262;50,293567;47,950031;0,322827;0,194231;151;153
122,pgm;2;64;2670;1,19949;12,725181;96;54,996667;44,186667;71,547184;46,232626;-16,550517;-2,04596;120;178
123,pgm;3;0;951;1,031023;14,500883;101;54,309859;50,524648;78,299685;27,218717;-23,989825;23,305931;113;170
